Global Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
185001,-0.39
185002,-0.15
185003,-0.25
185004,-0.21
185005,-0.21
185006,-0.12
185007,-0.10
185008,-0.13
185009,-0.20
185010,-0.12
185011,-0.16
185012,-0.07
185101,-0.13
185102,-0.08
185103,-0.26
185104,-0.18
185105,-0.10
185106,-0.16
185107,-0.06
185108,-0.03
185109,0.00
185110,-0.04
185111,-0.05
185112,-0.03
185201,-0.17
185202,-0.10
185203,-0.27
185204,-0.38
185205,-0.01
185206,-0.08
185207,-0.06
185208,0.05
185209,-0.03
185210,-0.07
185211,-0.06
185212,-0.09
185301,-0.02
185302,-0.16
185303,-0.16
185304,-0.19
185305,-0.13
185306,-0.08
185307,-0.03
185308,-0.03
185309,-0.13
185310,-0.17
185311,-0.15
185312,-0.23
185401,-0.26
185402,-0.19
185403,-0.06
185404,-0.23
185405,-0.09
185406,-0.09
185407,-0.13
185408,-0.15
185409,-0.08
185410,-0.03
185411,-0.14
185412,0.01
185501,-0.01
185502,-0.12
185503,-0.17
185504,-0.11
185505,-0.14
185506,-0.22
185507,-0.14
185508,-0.16
185509,-0.20
185510,-0.05
185511,0.02
185512,-0.21
185601,-0.10
185602,-0.08
185603,-0.29
185604,-0.18
185605,-0.13
185606,-0.16
185607,-0.35
185608,-0.32
185609,-0.19
185610,-0.46
185611,-0.48
185612,-0.38
185701,-0.30
185702,-0.35
185703,-0.33
185704,-0.38
185705,-0.36
185706,-0.31
185707,-0.24
185708,-0.19
185709,-0.21
185710,-0.26
185711,-0.29
185712,-0.17
185801,-0.18
185802,-0.32
185803,-0.20
185804,-0.21
185805,-0.23
185806,-0.21
185807,-0.21
185808,-0.24
185809,-0.22
185810,-0.23
185811,-0.20
185812,-0.20
185901,-0.12
185902,0.00
185903,-0.05
185904,-0.09
185905,-0.10
185906,-0.12
185907,-0.11
185908,-0.15
185909,-0.13
185910,-0.13
185911,-0.08
185912,-0.05
186001,-0.14
186002,-0.12
186003,-0.20
186004,-0.19
186005,-0.16
186006,-0.20
186007,-0.27
186008,-0.26
186009,-0.23
186010,-0.24
186011,-0.34
186012,-0.49
186101,-0.48
186102,-0.32
186103,-0.28
186104,-0.30
186105,-0.25
186106,-0.29
186107,-0.19
186108,-0.11
186109,-0.11
186110,-0.24
186111,-0.26
186112,-0.25
186201,-0.42
186202,-0.36
186203,-0.28
186204,-0.30
186205,-0.35
186206,-0.33
186207,-0.30
186208,-0.31
186209,-0.24
186210,-0.28
186211,-0.20
186212,-0.30
186301,-0.06
186302,-0.09
186303,-0.13
186304,-0.16
186305,-0.13
186306,-0.25
186307,-0.24
186308,-0.15
186309,-0.21
186310,-0.23
186311,-0.19
186312,-0.08
186401,-0.35
186402,-0.21
186403,-0.18
186404,-0.21
186405,-0.14
186406,-0.10
186407,-0.16
186408,-0.18
186409,-0.24
186410,-0.28
186411,-0.19
186412,-0.11
186501,-0.05
186502,-0.25
186503,-0.18
186504,-0.16
186505,-0.17
186506,-0.14
186507,-0.08
186508,-0.09
186509,-0.10
186510,-0.16
186511,-0.11
186512,-0.12
186601,0.08
186602,-0.06
186603,-0.07
186604,-0.17
186605,-0.19
186606,-0.11
186607,-0.07
186608,-0.18
186609,-0.20
186610,-0.19
186611,-0.06
186612,-0.10
186701,-0.22
186702,-0.09
186703,-0.21
186704,-0.19
186705,-0.27
186706,-0.19
186707,-0.22
186708,-0.13
186709,-0.04
186710,-0.13
186711,-0.16
186712,-0.34
186801,-0.43
186802,-0.24
186803,-0.10
186804,-0.10
186805,-0.01
186806,-0.04
186807,-0.12
186808,-0.11
186809,-0.19
186810,-0.14
186811,-0.15
186812,-0.10
186901,-0.15
186902,0.01
186903,-0.15
186904,-0.11
186905,-0.12
186906,-0.09
186907,-0.15
186908,-0.19
